,Product Name,Sale Price,Market Price,Discount Offered,Product Rating,No_of_rating,No_of_review,Product Specs,Category,Product Company
25,AMD Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2144au Thin and Light Laptop,40990,56990,15,4.2,8072,589,"[""AMD Ryzen 5 Hexa Core Processor"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""Microsoft Office Home 2019 & Office 365, HP Documentation, HP SSRM, HP Smart"", ""1 Year Onsite Warranty""]",Laptop,HP
26,Aspire Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home) AL15-52H Thin and Light...,47990,32999,30,4.2,290,31,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB LPDDR5 RAM"", ""Windows 11 Home Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Acer
27,Aspire 3 Intel Celeron Dual Core N4500 - (8 GB/512 GB SSD/Windows 11 Home) A324-45 Thin and Light...,22990,191668,33,3.9,1926,158,"[""Intel Celeron Dual Core Processor"", ""8 GB LPDDR4X RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""35.56 cm (14 Inch) Display"", ""1 Year Carry-in Warranty""]",Laptop,Acer
28,OMEN AI PC OLED Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFo...,126990,77566,14,4.8,9,1,"[""Intel Core Ultra 7 Processor"", ""16 GB LPDDR5X RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 inch) Display"", ""Microsoft Office Home & Student 2021"", ""1 Year Onsite Warranty""]",Laptop,HP
29,Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeFor...,65990,44911,46,4.4,37,3,"[""Intel Core i5 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,HP
30,255 G9 AMD Ryzen 3 Dual Core 3250 - (8 GB/512 GB SSD/Windows 11 Home) 255 G8 Thin and Light Laptop,23999,54990,30,4.0,1359,98,"[""AMD Ryzen 3 Dual Core Processor"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""Windows 11"", ""1 Year""]",Laptop,HP
31,Vivobook 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) X1504ZA-NJ341WS Thi...,37990,65768,45,4.3,11610,913,"[""Intel Core i3 Processor (12th Gen)"", ""16 GB DDR4 RAM"", ""Windows 11 Home Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 Inch) Display"", ""1 Year Onsite Warranty""]",Laptop,ASUS
32,V14 Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) V14 ITL G2 Thin and Light ...,36099,52251,43,4.1,659,47,"[""Intel Core i5 Processor (12th Gen)"", ""8 GB DDR4 RAM"", ""64 bit Windows 11 Operating System"", ""512 GB SSD"", ""35.56 cm (14 inch) Display"", ""N/A"", ""1 Year Carry In To SERVICE CENTER WARRANTY""]",Laptop,Lenovo
33,255 G9 Silver AMD Ryzen 5 Hexa Core AMD Ryzen5-5625U - (8 GB/512 GB SSD/Windows 11 Home) 255 G9 Bus...,29490,192386,34,4.2,164,12,"[""AMD Ryzen 5 Hexa Core Processor"", ""8 GB DDR4 RAM"", ""32 bit Windows 11 Operating System"", ""512 GB SSD"", ""39.62 cm (15.6 inch) Display"", ""Windows"", ""1 Year Onsite Warranty""]",Laptop,HP
34,OMEN AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce R...,125990,123652,21,4.8,9,1,"[""Intel Core Ultra 7 Processor"", ""16 GB LPDDR5X RAM"", ""64 bit Windows 11 Operating System"", ""1 TB SSD"", ""35.56 cm (14 Inch) Display"", ""Microsoft Office Home & Student 2021"", ""1 Year Onsite Warranty""]",Laptop,HP
